271,Dmitry Rybolovlev, $6.6 B  ,  fertilizer,Russia,
272,Fan Hongwei & family, $6.6 B  ,  petrochemicals,China,
273,Marc Benioff, $6.6 B  ,  business software,United States,
274,Reinhold Schmieding, $6.5 B  ,  medical devices,United States,
275,Andrei Kozitsyn, $6.5 B  ,  metals,Russia,
276,Johann Graf, $6.4 B  ,  gambling,Austria,
277,Edward Johnson III, $6.4 B  ,  money management,United States,
278,Andreas von Bechtolsheim & family, $6.4 B  ,  Google,Germany,
279,John Malone, $6.4 B  722%,79,cable television,United States
280,Du Weimin, $6.4 B  ,  vaccines,China,
281,Richard Kinder, $6.3 B  ,  pipelines,United States,
282,David Cheriton, $6.3 B  ,  Google,Canada,
283,Melker Schorling & family, $6.2 B  ,  investments,Sweden,
284,Herbert Kohler Jr & family, $6.2 B  ,  plumbing fixtures,United States,
285,Ernest Garcia II, $6.2 B  ,  used cars,United States,
286,Alberto Bailleres Gonzalez & family, $6.2 B  129%,89,mining,Mexico
287,James Dyson, $6.2 B  ,  vacuums,United Kingdom,
288,Stef Wertheimer & family, $6.2 B  ,  metalworking tools,Israel,
289,Carlos Alberto Sicupira & family, $6.1 B  ,  beer,Brazil,
290,Kjeld Kirk Kristiansen, $6.1 B  ,  Lego,Denmark,
290,Sofie Kirk Kristiansen, $6.1 B  ,  Lego,Denmark,
290,Thomas Kirk Kristiansen, $6.1 B  ,  Lego,Denmark,
290,Agnete Kirk Thinggaard, $6.1 B  ,  Lego,Denmark,
294,John Overdeck, $6.1 B  ,  hedge funds,United States,
294,David Siegel, $6.1 B  ,  hedge funds,United States,
296,Lai Meisong, $6.0 B  ,  package delivery,China,
297,Bernard Marcus, $6.0 B  ,  Home Depot,United States,
298,Azim Premji, $6.0 B  ,  software services,India,
299,Edward Roski Jr, $6.0 B  ,  real estate,United States,
300,Dennis Washington, $6.0 B  ,"  construction, mining",United States,
301,Wang Liping & family, $5.9 B  ,  hydraulic machinery,China,
302,Nusli Wadia, $5.9 B  ,  consumer goods,India,
303,Takahisa Takahara, $5.9 B  ,  personal care goods,Japan,
304,Sandra Ortega Mera, $5.9 B  ,  Zara,Spain,
305,Liu Yongxing, $5.9 B  ,  diversified,China,
306,Ruan Liping, $5.9 B  ,  power strips,Hong Kong,
307,Robin Li, $5.9 B  ,  internet search,China,
308,Ruan Xueping, $5.9 B  ,  power strip,Hong Kong,
309,Alexander Abramov, $5.8 B  ,"  steel, mining",Russia,
310,Kuldip Singh & Gurbachan Singh Dhingra, $5.8 B  ,  paints,India,
311,Antonia Ax:son Johnson & family, $5.8 B  ,  diversified,Sweden,
312,Wang Wenjing, $5.8 B  ,  business software,China,
313,Mike Adenuga, $5.8 B  ,"  telecom, oil",Nigeria,
314,Pham Nhat Vuong, $5.8 B  ,  diversified,Vietnam,
315,Chan Laiwa & family, $5.8 B  ,  real estate,China,
316,Yao Zhenhua & family, $5.8 B  ,  conglomerate,China,
317,Silvio Berlusconi & family, $5.8 B  ,  media,Italy,
318,Jim Davis & family, $5.8 B  ,  New Balance,United States,
319,Tom Gores, $5.7 B  ,  private equity,United States,
320,Terry Gou, $5.7 B  ,  electronics,Taiwan,
321,George Kaiser, $5.7 B  ,"  oil & gas, banking",United States,
322,Tsai Eng-meng, $5.7 B  ,"  food, beverages",Taiwan,
323,Nassef Sawiris, $5.7 B  ,"  construction, chemicals",Egypt,
324,Maria Asuncion Aramburuzabala & family, $5.7 B  ,"  beer, investments",Mexico,
325,James Chambers, $5.7 B  ,"  media, automotive",United States,
325,Margaretta Taylor, $5.7 B  ,"  media, automotive",United States,
325,Katharine Rayner, $5.7 B  ,"  media, automotive",United States,
328,Alexandre Behring, $5.7 B  ,  investments,Brazil,
329,Hansjoerg Wyss, $5.7 B  ,  medical devices,Switzerland,
330,Jay Y. Lee, $5.7 B  ,  Samsung,South Korea,
331,Li Ge, $5.7 B  ,  biotech,United States,
332,Law Kar Po, $5.6 B  ,  real estate,Hong Kong,
333,George Roberts, $5.6 B  ,  private equity,United States,
334,Benu Gopal Bangur, $5.6 B  ,  cement,India,
335,Pauline MacMillan Keinath, $5.6 B  ,  Cargill,United States,
336,Ralph Lauren, $5.6 B  125%,81,apparel,United States
337,Guo Guangchang, $5.6 B  ,  conglomerate,China,
338,Robert Miller, $5.5 B  ,  retail,United Kingdom,
339,Hiroshi Mikitani, $5.5 B  ,  online retail,Japan,
340,Tobi Lutke, $5.5 B  ,  e-commerce,Canada,
341,Henry Kravis, $5.5 B  ,  private equity,United States,
342,Tang Shing-bor, $5.5 B  ,  real estate,Hong Kong,
343,Olivier Dassault, $5.5 B  ,  diversified,France,
343,Thierry Dassault, $5.5 B  ,  diversified,France,
343,Laurent Dassault, $5.5 B  ,  diversified,France,
343,Marie-Hélène Habert, $5.5 B  ,  diversified,France,
347,Wang Laichun, $5.5 B  ,  electronics components,China,
348,Wang Laisheng, $5.5 B  ,  electronics components,China,
349,Alexander Otto, $5.5 B  ,  real estate,Germany,
350,Rocco Commisso, $5.5 B  ,  telecom,United States,
351,Ronda Stryker, $5.4 B  ,  medical equipment,United States,
352,Magdalena Martullo-Blocher, $5.4 B  ,  chemicals,Switzerland,
353,Laurence Graff & family, $5.4 B  ,  diamond jewelry,United Kingdom,
354,Rahel Blocher, $5.4 B  ,  chemicals,Switzerland,
355,Micky Arison, $5.3 B  ,  Carnival Cruises,United States,
356,Bruce Kovner, $5.3 B  ,  hedge funds,United States,
357,Wang Zhenhua, $5.3 B  ,  real estate,China,
358,Arthur Blank, $5.3 B  ,  Home Depot,United States,
359,Clive Calder, $5.2 B  ,  record label,United Kingdom,
360,Frank Lowy, $5.2 B  ,  shopping malls,Australia,
361,Ding Shizhong & family, $5.2 B  ,  sports apparel,China,
362,Karen Pritzker, $5.2 B  ,"  hotels, investments",United States,
363,Wee Cho Yaw, $5.1 B  ,  banking,Singapore,
364,Kwee brothers, $5.1 B  ,  Real Estate,Singapore,
365,Sam Zell, $5.1 B  ,"  real estate, private equity",United States,
366,Ding Shijia, $5.1 B  ,  sports apparel,China,
367,Martha Ingram & family, $5.1 B  ,"  book distribution, transportation",United States,
368,Ananda Krishnan, $5.1 B  ,"  telecoms, media, oil-services",Malaysia,
369,Jeff Skoll, $5.1 B  ,  eBay,United States,
370,Manuel Villar, $5.1 B  ,  real estate,Philippines,
371,Jack Dangermond, $5.1 B  ,  mapping software,United States,
372,Paul Tudor Jones II, $5.1 B  ,  hedge funds,United States,
373,Christopher Hohn, $5.0 B  ,  hedge funds,United Kingdom,
374,George Lucas, $5.0 B  ,  Star Wars,United States,
375,Guenther Fielmann & family, $5.0 B  ,  optometry,Germany,
376,Margarita Louis-Dreyfus & family, $5.0 B  ,  commodities,Switzerland,
377,Robert Ziff, $5.0 B  ,  investments,United States,
377,Daniel Ziff, $5.0 B  ,  investments,United States,
377,Dirk Ziff, $5.0 B  ,  investments,United States,
377,Bertil Hult, $5.0 B  ,  education,Sweden,
377,Robert F. Smith, $5.0 B  ,  private equity,United States,
382,James Irving, $5.0 B  ,  diversified,Canada,
383,Huang Shilin, $5.0 B  ,  batteries,China,
384,Huang Chulong, $5.0 B  ,  real estate,Canada,
385,Zeng Fangqin, $5.0 B  ,  smartphone components,China,
386,Terrence Pegula, $5.0 B  ,  natural gas,United States,
387,Marie Besnier Beauvalot, $5.0 B  ,  cheese,France,
387,Jean-Michel Besnier, $5.0 B  ,  cheese,France,
389,Sri Prakash Lohia, $4.9 B  ,  petrochemicals,Indonesia,
390,Fredrik Lundberg, $4.9 B  ,"  real estate, investments",Sweden,
391,Michael Herz, $4.9 B  ,  coffee,Germany,
391,Wolfgang Herz, $4.9 B  ,  coffee,Germany,
393,Cheng Xue, $4.9 B  ,  soy sauce,China,
394,David Sun, $4.9 B  ,  computer hardware,United States,
395,Juan Francisco Beckmann Vidal & family, $4.9 B  ,  tequila,Mexico,
396,John Tu, $4.9 B  ,  computer hardware,United States,
397,Mark Scheinberg, $4.9 B  ,  online gambling,Canada,
398,Wang Chuanfu, $4.9 B  ,"  batteries, automobiles",China,
399,Tilman Fertitta, $4.8 B  ,"  Houston Rockets, entertainment",United States,
400,Antti Herlin, $4.8 B  ,"  elevators, escalators",Finland,
401,Pyotr Aven, $4.8 B  ,"  oil, banking, telecom",Russia,
402,Bidzina Ivanishvili, $4.8 B  ,  investments,Georgia,
403,Lin Li, $4.8 B  ,  investments,China,
404,Frank Wang, $4.8 B  ,  drones,China,
405,Bubba Cathy, $4.8 B  ,  Chick-fil-A,United States,
405,Dan Cathy, $4.8 B  ,  Chick-fil-A,United States,
407,Chen Dongsheng, $4.8 B  ,  insurance,China,
408,Andreas Halvorsen, $4.8 B  ,  hedge funds,Norway,
409,Yasumitsu Shigeta & family, $4.8 B  ,  mobile phone retailer,Japan,
410,Rene Benko, $4.7 B  ,"  real estate, retail",Austria,
411,Stanley Druckenmiller, $4.7 B  ,  hedge funds,United States,
412,Wolfgang Reimann, $4.7 B  ,  consumer goods,Germany,
412,Renate Reimann-Haas, $4.7 B  ,  consumer goods,Germany,
412,Matthias Reimann-Andersen, $4.7 B  ,  consumer goods,Germany,
412,Stefan Reimann-Andersen, $4.7 B  ,  consumer goods,Germany,
416,John A. Sobrato & family, $4.7 B  ,  real estate,United States,
417,Joe Lewis, $4.7 B  ,  investments,United Kingdom,
418,Reed Hastings, $4.7 B  ,  Netflix,United States,
419,Idan Ofer, $4.7 B  246%,65,"drilling, shipping",Israel
420,Murat Ulker, $4.7 B  ,  food,Turkey,
421,Wang Yusuo & family, $4.7 B  ,  natural gas distribution,China,
422,Teddy Sagi, $4.7 B  ,  gambling software,Israel,
423,Augusto & Giorgio Perfetti, $4.7 B  ,  candy,Italy,
424,Theo Mueller, $4.7 B  ,  dairy,Germany,
425,Andrei Guriev & family, $4.6 B  ,  fertilizers,Russia,
426,Harry Stine, $4.6 B  ,  agriculture,United States,
427,Mitchell Rales, $4.6 B  ,"  manufacturing, investments",United States,
428,Axel Oberwelland, $4.6 B  ,  candy,Germany,
429,Gustavo Denegri, $4.6 B  ,  biotech,Italy,
430,Ken Fisher, $4.6 B  ,  money management,United States,
431,Robert Bass, $4.6 B  ,"  oil, investments",United States,
432,Ray Lee Hunt, $4.6 B  ,"  oil, real estate",United States,
433,Johann Rupert & family, $4.6 B  ,  luxury goods,South Africa,
434,Ashwin Dani, $4.6 B  ,  paints,India,
435,Gustaf Douglas, $4.6 B  376%,82,investments,Sweden
436,Jim Pattison, $4.6 B  09%,92,diversified,Canada
437,Murali Divi & family, $4.6 B  ,  pharmaceuticals,India,
438,Carrie Perrodo & family, $4.6 B  ,  oil,France,
